date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:32:21	70/70	---MCZ	200	added ('OK')	text/plain	date:Wed,%2018%20Jul%202018%2006:34:09%20GMT	http://ishvar.tfa.az/robots.txt		(from )
10:32:23	122837/122837	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jul%202018%2006:34:08%20GMT	http://ishvar.tfa.az/index.php/job/german-speaking-team-leader/	C:/My%20Web%20Sites/isver/ishvar.tfa.az/index.php/job/german-speaking-team-leader/index.html	(from )
10:32:24	254777/254777	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jul%202018%2006:34:08%20GMT	http://ishvar.tfa.az/index.php/candidates/	C:/My%20Web%20Sites/isver/ishvar.tfa.az/index.php/candidates/index.html	(from )
10:32:26	327427/327427	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jul%202018%2006:34:09%20GMT	http://ishvar.tfa.az/index.php/jobs/	C:/My%20Web%20Sites/isver/ishvar.tfa.az/index.php/jobs/index.html	(from )
10:32:28	56826/56826	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jul%202018%2006:34:13%20GMT	http://ishvar.tfa.az/index.php/candidate/nguyen-tien-dung/	C:/My%20Web%20Sites/isver/ishvar.tfa.az/index.php/candidate/nguyen-tien-dung/index.html	(from )
10:32:29	1743/1743	---MCZ	200	added ('OK')	text/css	date:Thu,%2012%20Jul%202018%2014:55:06%20GMT	http://ishvar.tfa.az/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.3	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/contact-form-7/includes/css/stylesaead.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:30	198512/198512	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jul%202018%2006:34:16%20GMT	http://ishvar.tfa.az/index.php/employers/	C:/My%20Web%20Sites/isver/ishvar.tfa.az/index.php/employers/index.html	(from )
10:32:31	55549/55549	---MCZ	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2007:55:13%20GMT	http://ishvar.tfa.az/wp-content/plugins/inwave-common/assets/css/iw-shortcodes.css?ver=2.9.0	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/inwave-common/assets/css/iw-shortcodes5b0a.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:31	101621/101621	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jul%202018%2006:34:17%20GMT	http://ishvar.tfa.az/index.php/blog/	C:/My%20Web%20Sites/isver/ishvar.tfa.az/index.php/blog/index.html	(from )
10:32:31	1328/1328	---MCZ	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2007:55:13%20GMT	http://ishvar.tfa.az/wp-content/plugins/inwave-common/assets/css/iw-shortcodes-rtl.css?ver=2.9.0	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/inwave-common/assets/css/iw-shortcodes-rtl5b0a.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:32	1088/1088	---MCZ	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2007:55:13%20GMT	http://ishvar.tfa.az/wp-content/plugins/inwave-common/assets/css/iw-button.css?ver=2.9.0	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/inwave-common/assets/css/iw-button5b0a.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:32	4358/4358	---MCZ	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2007:55:14%20GMT	http://ishvar.tfa.az/wp-content/plugins/iwjob/includes/class/fields/assets/css/style.css?ver=4.9.7	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/iwjob/includes/class/fields/assets/css/style37cb.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:32	620/620	---MCZ	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2007:55:14%20GMT	http://ishvar.tfa.az/wp-content/plugins/iwjob/assets/css/load.css?ver=4.9.7	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/iwjob/assets/css/load37cb.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:33	3485/3485	---MCZ	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2007:55:14%20GMT	http://ishvar.tfa.az/wp-content/plugins/iwjob/assets/css/star-rating.css?ver=4.9.7	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/iwjob/assets/css/star-rating37cb.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:35	259140/259140	---MCZ	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2007:55:14%20GMT	http://ishvar.tfa.az/wp-content/plugins/iwjob/assets/css/style.css?ver=4.9.7	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/iwjob/assets/css/style37cb.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:36	83408/83408	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jul%202018%2006:34:20%20GMT	http://ishvar.tfa.az/index.php/2017/03/29/top-fun-activities-tips-for-you/	C:/My%20Web%20Sites/isver/ishvar.tfa.az/index.php/2017/03/29/top-fun-activities-tips-for-you/index.html	(from )
10:32:36	39755/39755	---MCZ	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2007:55:16%20GMT	http://ishvar.tfa.az/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.7.1	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/revslider/public/assets/css/settings8c43.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:36	102518/102518	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jul%202018%2006:34:22%20GMT	http://ishvar.tfa.az/index.php/contact-us/	C:/My%20Web%20Sites/isver/ishvar.tfa.az/index.php/contact-us/index.html	(from )
10:32:36	16615/16615	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Jun%202018%2021:46:50%20GMT	http://ishvar.tfa.az/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.4.3	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutcd45.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:37	6818/6818	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Jun%202018%2021:46:50%20GMT	http://ishvar.tfa.az/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.4.3	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreencd45.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:37	62425/62425	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Jun%202018%2021:46:50%20GMT	http://ishvar.tfa.az/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.4.3	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/woocommerce/assets/css/woocommercecd45.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:37	851/851	---MCZ	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2011:46:12%20GMT	http://ishvar.tfa.az/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/legacy-list-horizontal/style.css?ver=1	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/legacy-list-horizontal/style68b3.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:38	587/587	---MCZ	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2011:46:12%20GMT	http://ishvar.tfa.az/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/legacy-post-translations/style.css?ver=1	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/legacy-post-translations/style68b3.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:38	9272/9272	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Jun%202018%2021:46:50%20GMT	http://ishvar.tfa.az/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.4.3	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/woocommerce/assets/css/prettyPhotocd45.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:38	3572/3572	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20May%202018%2010:04:56%20GMT	http://ishvar.tfa.az/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox.css?ver=1.2.0	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox7359.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:38	14151/14151	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20May%202018%2010:04:56%20GMT	http://ishvar.tfa.az/wp-content/plugins/yith-woocommerce-wishlist/assets/css/style.css?ver=2.2.2	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/yith-woocommerce-wishlist/assets/css/style605a.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:39	31000/31000	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20May%202018%2010:04:56%20GMT	http://ishvar.tfa.az/wp-content/plugins/yith-woocommerce-wishlist/assets/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/yith-woocommerce-wishlist/assets/css/font-awesome.min1849.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:39	112833/112833	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Jul%202018%2019:28:52%20GMT	http://ishvar.tfa.az/wp-content/themes/injob/assets/css/bootstrap.min.css?ver=2.9.0	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/themes/injob/assets/css/bootstrap.min5b0a.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:39	30470/30470	---MCZ	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2007:55:13%20GMT	http://ishvar.tfa.az/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=5.4.7	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min8b06.css	(from http://ishvar.tfa.az/index.php/jobs/)
10:32:40	51250/51250	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Jul%202018%2019:28:52%20GMT	http://ishvar.tfa.az/wp-content/themes/injob/assets/fonts/ionicons/ionicons.min.css?ver=2.9.0	C:/My%20Web%20Sites/isver/ishvar.tfa.az/wp-content/themes/injob/assets/fonts/ionicons/ionicons.min5b0a.css	(from http://ishvar.tfa.az/index.php/jobs/)
